trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,B2,b,a,False,2055,3,15036,trainPhase
1,0,A8,a,b,False,1660,3,15036,trainPhase
2,0,A11,a,b,False,3181,3,15036,trainPhase
3,0,A6,a,b,False,2181,3,15036,trainPhase
4,0,A9,a,a,True,1549,3,15036,trainPhase
5,0,B0,b,a,False,2347,3,15036,trainPhase
6,0,B10,b,a,False,1426,3,15036,trainPhase
7,0,B6,b,a,False,1294,3,15036,trainPhase
8,0,A10,a,b,False,1088,3,15036,trainPhase
9,0,B5,b,b,True,3989,3,15036,trainPhase
10,0,A0,a,a,True,2230,3,15036,trainPhase
11,0,B4,b,b,True,1318,3,15036,trainPhase
12,0,A4,a,a,True,3126,3,15036,trainPhase
13,0,A5,a,a,True,1038,3,15036,trainPhase
14,0,A3,a,a,True,1352,3,15036,trainPhase
15,0,B1,b,b,True,1126,3,15036,trainPhase
16,0,B9,b,b,True,1367,3,15036,trainPhase
17,0,B11,b,b,True,1294,3,15036,trainPhase
18,0,A2,a,a,True,1010,3,15036,trainPhase
19,0,B8,b,b,True,998,3,15036,trainPhase
20,0,B7,b,b,True,1102,3,15036,trainPhase
21,0,A1,a,a,True,2230,3,15036,trainPhase
22,0,B3,b,a,False,2191,3,15036,trainPhase
23,0,A7,a,b,False,1621,3,15036,trainPhase
0,1,B6,b,b,True,969,3,15036,trainPhase
1,1,A0,a,a,True,1133,3,15036,trainPhase
2,1,B2,b,a,False,1292,3,15036,trainPhase
3,1,B3,b,b,True,1174,3,15036,trainPhase
4,1,B10,b,b,True,1197,3,15036,trainPhase
5,1,A10,a,b,False,773,3,15036,trainPhase
6,1,A4,a,a,True,1350,3,15036,trainPhase
7,1,B11,b,b,True,1165,3,15036,trainPhase
8,1,B0,b,b,True,2861,3,15036,trainPhase
9,1,A7,a,b,False,1181,3,15036,trainPhase
10,1,A3,a,a,True,1114,3,15036,trainPhase
11,1,A2,a,a,True,832,3,15036,trainPhase
12,1,A11,a,a,True,2182,3,15036,trainPhase
13,1,B4,b,b,True,1038,3,15036,trainPhase
14,1,B8,b,b,True,2420,3,15036,trainPhase
15,1,B1,b,b,True,934,3,15036,trainPhase
16,1,A5,a,a,True,870,3,15036,trainPhase
17,1,A9,a,b,False,2774,3,15036,trainPhase
18,1,B9,b,b,True,1110,3,15036,trainPhase
19,1,A8,a,a,True,1870,3,15036,trainPhase
20,1,B5,b,b,True,1582,3,15036,trainPhase
21,1,A6,a,a,True,1347,3,15036,trainPhase
22,1,A1,a,a,True,1380,3,15036,trainPhase
23,1,B7,b,b,True,901,3,15036,trainPhase
0,2,B0,b,b,True,1522,3,15036,trainPhase
1,2,B4,b,b,True,989,3,15036,trainPhase
2,2,A2,a,a,True,1189,3,15036,trainPhase
3,2,A4,a,a,True,893,3,15036,trainPhase
4,2,B3,b,b,True,1030,3,15036,trainPhase
