trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,B0_55,b,a,False,2971,3,15036,singleFeatureTest
1,0,B0_80,b,b,True,3962,3,15036,singleFeatureTest
2,0,B0_70,b,a,False,4066,3,15036,singleFeatureTest
3,0,A0_00,a,a,True,3150,3,15036,singleFeatureTest
4,0,A0_10,a,b,False,1666,3,15036,singleFeatureTest
5,0,A0_20,a,a,True,1631,3,15036,singleFeatureTest
6,0,B0_50,b,b,True,2846,3,15036,singleFeatureTest
7,0,A0_40,a,b,False,1148,3,15036,singleFeatureTest
8,0,B0_80,b,a,False,1868,3,15036,singleFeatureTest
9,0,A0_45,a,a,True,2038,3,15036,singleFeatureTest
10,0,B0_40,b,b,True,5140,3,15036,singleFeatureTest
11,0,A0_50,a,b,False,2596,3,15036,singleFeatureTest
12,0,A0_30,a,b,False,949,3,15036,singleFeatureTest
13,0,A0_20,a,b,False,861,3,15036,singleFeatureTest
14,0,B0_90,b,a,False,733,3,15036,singleFeatureTest
15,0,B0_60,b,a,False,1006,3,15036,singleFeatureTest
16,0,T0_65,t,b,False,1588,3,15036,singleFeatureTest
17,0,T0_70,t,b,False,671,3,15036,singleFeatureTest
18,0,T0_60,t,a,False,1054,3,15036,singleFeatureTest
19,0,T0_50,t,a,False,1221,3,15036,singleFeatureTest
20,0,T0_40,t,a,False,1015,3,15036,singleFeatureTest
0,0,T0_70,t,a,False,5459,3,15041,singleFeatureTest
1,0,A0_30,a,a,True,3110,3,15041,singleFeatureTest
2,0,B0_70,b,b,True,971,3,15041,singleFeatureTest
3,0,T0_50,t,a,False,4238,3,15041,singleFeatureTest
4,0,B0_80,b,b,True,1714,3,15041,singleFeatureTest
5,0,A0_20,a,a,True,1154,3,15041,singleFeatureTest
6,0,A0_50,a,a,True,1566,3,15041,singleFeatureTest
7,0,B0_80,b,b,True,1578,3,15041,singleFeatureTest
8,0,T0_65,t,b,False,1466,3,15041,singleFeatureTest
9,0,T0_40,t,a,False,3089,3,15041,singleFeatureTest
10,0,A0_20,a,a,True,1007,3,15041,singleFeatureTest
11,0,B0_90,b,b,True,1255,3,15041,singleFeatureTest
12,0,A0_40,a,a,True,979,3,15041,singleFeatureTest
13,0,B0_55,b,a,False,1120,3,15041,singleFeatureTest
14,0,A0_45,a,b,False,918,3,15041,singleFeatureTest
15,0,T0_60,t,b,False,829,3,15041,singleFeatureTest
16,0,A0_00,a,a,True,1162,3,15041,singleFeatureTest
17,0,A0_10,a,a,True,856,3,15041,singleFeatureTest
18,0,B0_50,b,a,False,1205,3,15041,singleFeatureTest
19,0,B0_40,b,a,False,747,3,15041,singleFeatureTest
20,0,B0_60,b,a,False,803,3,15041,singleFeatureTest
0,0,A0_20,a,b,False,2182,3,15046,singleFeatureTest
1,0,T0_50,t,b,False,1779,3,15046,singleFeatureTest
2,0,T0_70,t,b,False,1164,3,15046,singleFeatureTest
3,0,A0_45,a,b,False,863,3,15046,singleFeatureTest
4,0,B0_90,b,b,True,2516,3,15046,singleFeatureTest
5,0,A0_10,a,a,True,1064,3,15046,singleFeatureTest
6,0,A0_20,a,a,True,1055,3,15046,singleFeatureTest
7,0,A0_00,a,a,True,1140,3,15046,singleFeatureTest
8,0,T0_40,t,b,False,1030,3,15046,singleFeatureTest
9,0,B0_80,b,b,True,1072,3,15046,singleFeatureTest
10,0,B0_40,b,a,False,3262,3,15046,singleFeatureTest
11,0,T0_65,t,b,False,1057,3,15046,singleFeatureTest
12,0,B0_55,b,b,True,1044,3,15046,singleFeatureTest
13,0,B0_50,b,b,True,1383,3,15046,singleFeatureTest
14,0,B0_80,b,b,True,1136,3,15046,singleFeatureTest
15,0,A0_30,a,a,True,803,3,15046,singleFeatureTest
16,0,T0_60,t,b,False,993,3,15046,singleFeatureTest
17,0,A0_40,a,a,True,2023,3,15046,singleFeatureTest
18,0,B0_60,b,b,True,1155,3,15046,singleFeatureTest
19,0,A0_50,a,a,True,1379,3,15046,singleFeatureTest
20,0,B0_70,b,b,True,811,3,15046,singleFeatureTest
0,0,B0_90,b,b,True,4359,3,15068,singleFeatureTest
1,0,T0_65,t,b,False,5134,3,15068,singleFeatureTest
2,0,A0_45,a,b,False,6414,3,15068,singleFeatureTest
3,0,A0_20,a,a,True,1791,3,15068,singleFeatureTest
4,0,T0_50,t,a,False,4854,3,15068,singleFeatureTest
5,0,A0_40,a,a,True,1264,3,15068,singleFeatureTest
6,0,B0_55,b,b,True,4894,3,15068,singleFeatureTest
7,0,T0_60,t,b,False,1536,3,15068,singleFeatureTest
8,0,A0_30,a,a,True,998,3,15068,singleFeatureTest
9,0,A0_00,a,a,True,790,3,15068,singleFeatureTest
10,0,T0_70,t,b,False,949,3,15068,singleFeatureTest
11,0,A0_50,a,a,True,5494,3,15068,singleFeatureTest
12,0,B0_70,b,b,True,1030,3,15068,singleFeatureTest
13,0,B0_80,b,b,True,1221,3,15068,singleFeatureTest
14,0,B0_50,b,a,False,1310,3,15068,singleFeatureTest
15,0,A0_20,a,a,True,1150,3,15068,singleFeatureTest
16,0,A0_10,a,a,True,1533,3,15068,singleFeatureTest
17,0,B0_60,b,a,False,2845,3,15068,singleFeatureTest
18,0,B0_80,b,b,True,1014,3,15068,singleFeatureTest
