trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,T0,t,a,False,5471,2,15040,testPhase
1,0,T1,t,a,False,2750,2,15040,testPhase
2,0,A0,a,a,True,1334,2,15040,testPhase
3,0,T0,t,b,False,2094,2,15040,testPhase
4,0,T1,t,a,False,4397,2,15040,testPhase
5,0,A1,a,a,True,846,2,15040,testPhase
6,0,T1,t,a,False,1246,2,15040,testPhase
7,0,T0,t,b,False,2893,2,15040,testPhase
8,0,T1,t,a,False,3078,2,15040,testPhase
9,0,T0,t,a,False,941,2,15040,testPhase
10,0,B1,b,a,False,4133,2,15040,testPhase
11,0,B0,b,b,True,1117,2,15040,testPhase
12,0,A3,a,a,True,16894,2,15040,testPhase
13,0,A2,a,b,False,2694,2,15040,testPhase
14,0,T1,t,a,False,870,2,15040,testPhase
15,0,B2,b,b,True,3982,2,15040,testPhase
16,0,B3,b,a,False,3542,2,15040,testPhase
17,0,T0,t,b,False,3350,2,15040,testPhase
0,0,T0,t,b,False,1620,2,15045,testPhase
1,0,T0,t,b,False,638,2,15045,testPhase
2,0,A3,a,b,False,341,2,15045,testPhase
3,0,T0,t,b,False,300,2,15045,testPhase
4,0,T1,t,b,False,990,2,15045,testPhase
5,0,A0,a,b,False,278,2,15045,testPhase
6,0,T1,t,b,False,229,2,15045,testPhase
7,0,A1,a,b,False,198,2,15045,testPhase
8,0,A2,a,b,False,159,2,15045,testPhase
9,0,B0,b,b,True,174,2,15045,testPhase
10,0,B3,b,b,True,140,2,15045,testPhase
11,0,T0,t,b,False,142,2,15045,testPhase
12,0,T1,t,b,False,293,2,15045,testPhase
13,0,T0,t,b,False,206,2,15045,testPhase
14,0,T1,t,b,False,492,2,15045,testPhase
15,0,B2,b,b,True,461,2,15045,testPhase
16,0,T1,t,b,False,341,2,15045,testPhase
17,0,B1,b,b,True,277,2,15045,testPhase
0,0,T0,t,a,False,3032,2,15067,testPhase
1,0,A3,a,b,False,1404,2,15067,testPhase
2,0,A2,a,a,True,3012,2,15067,testPhase
3,0,T1,t,a,False,941,2,15067,testPhase
4,0,T1,t,a,False,1030,2,15067,testPhase
5,0,A1,a,b,False,2369,2,15067,testPhase
6,0,T1,t,a,False,791,2,15067,testPhase
7,0,T0,t,b,False,2640,2,15067,testPhase
8,0,B0,b,a,False,2391,2,15067,testPhase
9,0,T0,t,b,False,1439,2,15067,testPhase
10,0,T1,t,a,False,883,2,15067,testPhase
11,0,B2,b,b,True,2229,2,15067,testPhase
12,0,A0,a,a,True,798,2,15067,testPhase
13,0,B1,b,a,False,1504,2,15067,testPhase
14,0,T0,t,b,False,1990,2,15067,testPhase
15,0,T0,t,a,False,1496,2,15067,testPhase
16,0,B3,b,b,True,1184,2,15067,testPhase
17,0,T1,t,a,False,891,2,15067,testPhase
0,0,B1,b,b,True,4503,2,15072,testPhase
1,0,A3,a,a,True,1708,2,15072,testPhase
2,0,B2,b,a,False,3296,2,15072,testPhase
3,0,T0,t,a,False,1267,2,15072,testPhase
4,0,A0,a,a,True,1084,2,15072,testPhase
5,0,T0,t,a,False,1070,2,15072,testPhase
6,0,T1,t,a,False,988,2,15072,testPhase
7,0,T0,t,a,False,1115,2,15072,testPhase
8,0,A2,a,a,True,1265,2,15072,testPhase
9,0,T1,t,a,False,838,2,15072,testPhase
10,0,T1,t,a,False,822,2,15072,testPhase
11,0,A1,a,b,False,1422,2,15072,testPhase
12,0,T1,t,a,False,901,2,15072,testPhase
13,0,B0,b,b,True,987,2,15072,testPhase
14,0,B3,b,a,False,895,2,15072,testPhase
15,0,T0,t,a,False,746,2,15072,testPhase
16,0,T1,t,a,False,871,2,15072,testPhase
17,0,T0,t,a,False,816,2,15072,testPhase
0,0,B1,b,b,True,2297,2,15087,testPhase
1,0,T1,t,a,False,3584,2,15087,testPhase
2,0,T0,t,a,False,1916,2,15087,testPhase
3,0,T0,t,a,False,1776,2,15087,testPhase
4,0,T1,t,a,False,3155,2,15087,testPhase
5,0,T0,t,a,False,4058,2,15087,testPhase
6,0,B2,b,b,True,1439,2,15087,testPhase
7,0,A3,a,a,True,1471,2,15087,testPhase
8,0,B3,b,b,True,2972,2,15087,testPhase
9,0,A0,a,a,True,2834,2,15087,testPhase
10,0,T1,t,a,False,1383,2,15087,testPhase
11,0,B0,b,b,True,1023,2,15087,testPhase
12,0,T1,t,a,False,2729,2,15087,testPhase
13,0,T1,t,a,False,988,2,15087,testPhase
14,0,T0,t,a,False,3205,2,15087,testPhase
15,0,A1,a,b,False,1139,2,15087,testPhase
16,0,T0,t,a,False,1325,2,15087,testPhase
17,0,A2,a,a,True,1439,2,15087,testPhase
0,0,A2,a,b,False,2004,2,15092,testPhase
1,0,T0,t,b,False,921,2,15092,testPhase
2,0,B1,b,a,False,430,2,15092,testPhase
3,0,T1,t,b,False,502,2,15092,testPhase
4,0,A1,a,a,True,1013,2,15092,testPhase
5,0,T0,t,a,False,358,2,15092,testPhase
