trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,B3,b,a,False,2349,2,15040,trainPhase
1,0,B0,b,b,True,1181,2,15040,trainPhase
2,0,A1,a,b,False,1069,2,15040,trainPhase
3,0,B2,b,b,True,1430,2,15040,trainPhase
4,0,A2,a,b,False,1262,2,15040,trainPhase
5,0,A3,a,a,True,8516,2,15040,trainPhase
6,0,A0,a,b,False,1164,2,15040,trainPhase
7,0,B1,b,b,True,957,2,15040,trainPhase
0,1,B1,b,b,True,1941,2,15040,trainPhase
1,1,A2,a,b,False,1181,2,15040,trainPhase
2,1,A1,a,a,True,901,2,15040,trainPhase
3,1,B3,b,a,False,804,2,15040,trainPhase
4,1,B0,b,b,True,941,2,15040,trainPhase
5,1,A3,a,b,False,1157,2,15040,trainPhase
6,1,A0,a,b,False,2469,2,15040,trainPhase
7,1,B2,b,a,False,1542,2,15040,trainPhase
0,2,B2,b,b,True,2569,2,15040,trainPhase
1,2,A2,a,a,True,1768,2,15040,trainPhase
2,2,A1,a,a,True,6167,2,15040,trainPhase
3,2,A3,a,b,False,1190,2,15040,trainPhase
4,2,A0,a,a,True,1238,2,15040,trainPhase
5,2,B3,b,a,False,1014,2,15040,trainPhase
6,2,B0,b,a,False,1188,2,15040,trainPhase
7,2,B1,b,b,True,1019,2,15040,trainPhase
0,3,B3,b,a,False,1229,2,15040,trainPhase
1,3,A3,a,b,False,4225,2,15040,trainPhase
2,3,B0,b,a,False,1350,2,15040,trainPhase
3,3,A1,a,a,True,11813,2,15040,trainPhase
4,3,A0,a,a,True,1061,2,15040,trainPhase
5,3,A2,a,b,False,1107,2,15040,trainPhase
6,3,B1,b,a,False,830,2,15040,trainPhase
7,3,B2,b,b,True,6878,2,15040,trainPhase
0,4,B3,b,a,False,6206,2,15040,trainPhase
1,4,B2,b,b,True,2542,2,15040,trainPhase
2,4,B0,b,b,True,1350,2,15040,trainPhase
3,4,A0,a,a,True,1902,2,15040,trainPhase
4,4,A1,a,a,True,1006,2,15040,trainPhase
5,4,A3,a,b,False,959,2,15040,trainPhase
6,4,A2,a,b,False,1670,2,15040,trainPhase
7,4,B1,b,a,False,1542,2,15040,trainPhase
0,5,A1,a,b,False,2462,2,15040,trainPhase
1,5,B1,b,a,False,3582,2,15040,trainPhase
2,5,A2,a,b,False,1615,2,15040,trainPhase
3,5,A0,a,a,True,1509,2,15040,trainPhase
4,5,A3,a,a,True,2438,2,15040,trainPhase
5,5,B2,b,b,True,1605,2,15040,trainPhase
6,5,B0,b,a,False,1597,2,15040,trainPhase
7,5,B3,b,a,False,1778,2,15040,trainPhase
0,6,B3,b,b,True,1174,2,15040,trainPhase
1,6,A0,a,a,True,1342,2,15040,trainPhase
2,6,B2,b,b,True,1311,2,15040,trainPhase
3,6,A1,a,a,True,1194,2,15040,trainPhase
4,6,A3,a,a,True,3691,2,15040,trainPhase
5,6,B0,b,a,False,1589,2,15040,trainPhase
6,6,B1,b,b,True,5566,2,15040,trainPhase
7,6,A2,a,a,True,1168,2,15040,trainPhase
0,7,B1,b,b,True,942,2,15040,trainPhase
1,7,A1,a,a,True,951,2,15040,trainPhase
2,7,A2,a,a,True,2007,2,15040,trainPhase
3,7,B0,b,b,True,868,2,15040,trainPhase
4,7,A0,a,a,True,2637,2,15040,trainPhase
5,7,A3,a,a,True,2190,2,15040,trainPhase
6,7,B2,b,b,True,1094,2,15040,trainPhase
7,7,B3,b,a,False,1285,2,15040,trainPhase
0,8,A0,a,a,True,3660,2,15040,trainPhase
1,8,B3,b,b,True,1718,2,15040,trainPhase
2,8,A1,a,a,True,998,2,15040,trainPhase
3,8,B2,b,a,False,3365,2,15040,trainPhase
4,8,B1,b,b,True,1221,2,15040,trainPhase
5,8,B0,b,a,False,6860,2,15040,trainPhase
6,8,A2,a,b,False,3150,2,15040,trainPhase
7,8,A3,a,a,True,5294,2,15040,trainPhase
0,9,A0,a,b,False,1877,2,15040,trainPhase
1,9,B1,b,b,True,1957,2,15040,trainPhase
2,9,B0,b,a,False,1848,2,15040,trainPhase
3,9,A1,a,a,True,971,2,15040,trainPhase
4,9,A2,a,a,True,1716,2,15040,trainPhase
5,9,A3,a,a,True,4550,2,15040,trainPhase
6,9,B2,b,b,True,2814,2,15040,trainPhase
7,9,B3,b,a,False,2756,2,15040,trainPhase
0,10,A1,a,a,True,1382,2,15040,trainPhase
1,10,A3,a,a,True,9469,2,15040,trainPhase
2,10,A2,a,b,False,3566,2,15040,trainPhase
3,10,B1,b,b,True,7902,2,15040,trainPhase
4,10,B2,b,a,False,4320,2,15040,trainPhase
5,10,B0,b,a,False,2550,2,15040,trainPhase
6,10,B3,b,b,True,1032,2,15040,trainPhase
7,10,A0,a,a,True,1185,2,15040,trainPhase
0,11,A0,a,a,True,1221,2,15040,trainPhase
1,11,B1,b,b,True,934,2,15040,trainPhase
2,11,B0,b,a,False,885,2,15040,trainPhase
3,11,B2,b,a,False,1078,2,15040,trainPhase
4,11,A3,a,b,False,1036,2,15040,trainPhase
5,11,B3,b,a,False,1006,2,15040,trainPhase
6,11,A1,a,a,True,638,2,15040,trainPhase
7,11,A2,a,a,True,1229,2,15040,trainPhase
0,12,B1,b,b,True,693,2,15040,trainPhase
1,12,B0,b,a,False,614,2,15040,trainPhase
2,12,A3,a,a,True,1446,2,15040,trainPhase
3,12,A1,a,a,True,974,2,15040,trainPhase
4,12,B3,b,b,True,1366,2,15040,trainPhase
5,12,A0,a,a,True,1781,2,15040,trainPhase
6,12,B2,b,a,False,3135,2,15040,trainPhase
7,12,A2,a,a,True,838,2,15040,trainPhase
0,13,A3,a,b,False,1022,2,15040,trainPhase
1,13,B3,b,a,False,1021,2,15040,trainPhase
2,13,B2,b,b,True,1734,2,15040,trainPhase
3,13,B1,b,a,False,4006,2,15040,trainPhase
4,13,A1,a,a,True,838,2,15040,trainPhase
5,13,A2,a,b,False,2509,2,15040,trainPhase
6,13,A0,a,a,True,1101,2,15040,trainPhase
7,13,B0,b,b,True,3925,2,15040,trainPhase
0,14,A0,a,b,False,1549,2,15040,trainPhase
1,14,A3,a,a,True,4965,2,15040,trainPhase
2,14,B3,b,b,True,1822,2,15040,trainPhase
3,14,B1,b,a,False,1309,2,15040,trainPhase
4,14,B0,b,a,False,1395,2,15040,trainPhase
5,14,A1,a,a,True,902,2,15040,trainPhase
6,14,B2,b,b,True,2217,2,15040,trainPhase
7,14,A2,a,a,True,854,2,15040,trainPhase
