trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,A2,a,a,True,2295,1,14347,testPhase
1,0,T0,t,a,False,1485,1,14347,testPhase
2,0,T2,t,b,False,1553,1,14347,testPhase
3,0,T2,t,b,False,1898,1,14347,testPhase
4,0,A5,a,a,True,1016,1,14347,testPhase
5,0,T2,t,b,False,1118,1,14347,testPhase
6,0,A1,a,a,True,1348,1,14347,testPhase
7,0,A3,a,a,True,2774,1,14347,testPhase
8,0,T1,t,a,False,1019,1,14347,testPhase
9,0,A0,a,a,True,1083,1,14347,testPhase
10,0,T3,t,a,False,8237,1,14347,testPhase
11,0,T3,t,a,False,1054,1,14347,testPhase
12,0,T4,t,a,False,1363,1,14347,testPhase
13,0,T4,t,a,False,729,1,14347,testPhase
14,0,T3,t,b,False,1803,1,14347,testPhase
15,0,T0,t,a,False,1148,1,14347,testPhase
16,0,T1,t,a,False,1068,1,14347,testPhase
17,0,B4,b,b,True,1141,1,14347,testPhase
18,0,T1,t,a,False,901,1,14347,testPhase
19,0,T1,t,a,False,926,1,14347,testPhase
20,0,B2,b,b,True,3293,1,14347,testPhase
21,0,B5,b,b,True,1701,1,14347,testPhase
22,0,T0,t,a,False,891,1,14347,testPhase
23,0,B3,b,b,True,1558,1,14347,testPhase
24,0,T3,t,a,False,895,1,14347,testPhase
25,0,A4,a,a,True,967,1,14347,testPhase
26,0,T0,t,a,False,816,1,14347,testPhase
27,0,T2,t,b,False,1062,1,14347,testPhase
28,0,T4,t,a,False,1213,1,14347,testPhase
29,0,A7,a,a,True,694,1,14347,testPhase
30,0,B7,b,b,True,1200,1,14347,testPhase
31,0,T4,t,a,False,900,1,14347,testPhase
32,0,T0,t,a,False,1596,1,14347,testPhase
33,0,T1,t,a,False,1037,1,14347,testPhase
34,0,T4,t,a,False,4438,1,14347,testPhase
35,0,B6,b,b,True,1487,1,14347,testPhase
36,0,B1,b,b,True,884,1,14347,testPhase
37,0,B0,b,b,True,1303,1,14347,testPhase
38,0,T2,t,b,False,890,1,14347,testPhase
39,0,A6,a,a,True,1075,1,14347,testPhase
40,0,T3,t,a,False,1052,1,14347,testPhase
0,0,T3,t,a,False,4048,1,14356,testPhase
1,0,T1,t,a,False,924,1,14356,testPhase
2,0,T4,t,a,False,941,1,14356,testPhase
3,0,T1,t,b,False,879,1,14356,testPhase
4,0,T2,t,b,False,800,1,14356,testPhase
5,0,A7,a,a,True,1712,1,14356,testPhase
6,0,T1,t,a,False,1261,1,14356,testPhase
7,0,B5,b,a,False,808,1,14356,testPhase
8,0,T2,t,b,False,940,1,14356,testPhase
9,0,B1,b,b,True,1473,1,14356,testPhase
10,0,T2,t,a,False,1179,1,14356,testPhase
11,0,T2,t,a,False,914,1,14356,testPhase
12,0,A0,a,b,False,1651,1,14356,testPhase
13,0,T3,t,a,False,1846,1,14356,testPhase
14,0,A3,a,a,True,845,1,14356,testPhase
15,0,T4,t,a,False,960,1,14356,testPhase
16,0,A2,a,a,True,863,1,14356,testPhase
17,0,T1,t,b,False,1015,1,14356,testPhase
18,0,T3,t,b,False,580,1,14356,testPhase
19,0,B2,b,a,False,968,1,14356,testPhase
20,0,B3,b,b,True,1539,1,14356,testPhase
21,0,T3,t,b,False,1266,1,14356,testPhase
22,0,A1,a,b,False,808,1,14356,testPhase
23,0,B7,b,b,True,654,1,14356,testPhase
24,0,A4,a,a,True,723,1,14356,testPhase
25,0,T0,t,a,False,646,1,14356,testPhase
26,0,A5,a,a,True,1053,1,14356,testPhase
27,0,T4,t,a,False,1013,1,14356,testPhase
28,0,T0,t,a,False,904,1,14356,testPhase
29,0,T0,t,a,False,605,1,14356,testPhase
30,0,T0,t,a,False,627,1,14356,testPhase
31,0,B6,b,a,False,564,1,14356,testPhase
32,0,B4,b,b,True,858,1,14356,testPhase
33,0,T4,t,b,False,562,1,14356,testPhase
34,0,A6,a,b,False,534,1,14356,testPhase
35,0,T4,t,b,False,519,1,14356,testPhase
36,0,T3,t,a,False,838,1,14356,testPhase
37,0,T2,t,a,False,1033,1,14356,testPhase
38,0,T1,t,a,False,674,1,14356,testPhase
39,0,T0,t,a,False,683,1,14356,testPhase
40,0,B0,b,b,True,1247,1,14356,testPhase
0,0,T4,t,b,False,4562,1,15039,testPhase
1,0,T2,t,b,False,3446,1,15039,testPhase
2,0,T2,t,b,False,1390,1,15039,testPhase
3,0,B3,b,b,True,3477,1,15039,testPhase
4,0,A2,a,a,True,1269,1,15039,testPhase
5,0,T0,t,a,False,1114,1,15039,testPhase
6,0,B4,b,b,True,3006,1,15039,testPhase
7,0,B7,b,b,True,1021,1,15039,testPhase
8,0,T2,t,b,False,822,1,15039,testPhase
9,0,A3,a,a,True,935,1,15039,testPhase
10,0,T2,t,b,False,1019,1,15039,testPhase
11,0,A0,a,a,True,888,1,15039,testPhase
12,0,T0,t,a,False,1502,1,15039,testPhase
13,0,T3,t,a,False,715,1,15039,testPhase
14,0,T3,t,b,False,918,1,15039,testPhase
15,0,T1,t,a,False,1094,1,15039,testPhase
16,0,A4,a,a,True,1822,1,15039,testPhase
17,0,A6,a,b,False,1353,1,15039,testPhase
18,0,T4,t,b,False,1182,1,15039,testPhase
19,0,T3,t,a,False,1046,1,15039,testPhase
20,0,B5,b,b,True,1462,1,15039,testPhase
21,0,T1,t,a,False,669,1,15039,testPhase
22,0,T0,t,b,False,1182,1,15039,testPhase
23,0,T1,t,a,False,894,1,15039,testPhase
24,0,T2,t,b,False,1271,1,15039,testPhase
25,0,A1,a,a,True,1159,1,15039,testPhase
26,0,A5,a,b,False,1135,1,15039,testPhase
27,0,B2,b,b,True,1126,1,15039,testPhase
28,0,T1,t,a,False,1012,1,15039,testPhase
29,0,T4,t,b,False,950,1,15039,testPhase
30,0,B0,b,b,True,2781,1,15039,testPhase
31,0,T4,t,b,False,2502,1,15039,testPhase
32,0,T3,t,a,False,750,1,15039,testPhase
33,0,T0,t,a,False,1829,1,15039,testPhase
34,0,T4,t,b,False,957,1,15039,testPhase
35,0,B6,b,b,True,1484,1,15039,testPhase
36,0,B1,b,b,True,959,1,15039,testPhase
37,0,T0,t,a,False,1030,1,15039,testPhase
38,0,A7,a,b,False,1027,1,15039,testPhase
39,0,T1,t,a,False,647,1,15039,testPhase
40,0,T3,t,a,False,966,1,15039,testPhase
0,0,T2,t,b,False,2347,1,15044,testPhase
1,0,T3,t,b,False,5899,1,15044,testPhase
2,0,A6,a,a,True,1855,1,15044,testPhase
3,0,T1,t,a,False,1698,1,15044,testPhase
4,0,A1,a,b,False,3321,1,15044,testPhase
5,0,T0,t,a,False,1746,1,15044,testPhase
6,0,T1,t,a,False,2413,1,15044,testPhase
7,0,T2,t,b,False,1088,1,15044,testPhase
8,0,B2,b,b,True,4188,1,15044,testPhase
9,0,T0,t,a,False,1407,1,15044,testPhase
10,0,B6,b,b,True,1226,1,15044,testPhase
11,0,T3,t,b,False,5109,1,15044,testPhase
12,0,T0,t,a,False,2740,1,15044,testPhase
13,0,A0,a,a,True,1093,1,15044,testPhase
14,0,A7,a,b,False,860,1,15044,testPhase
15,0,T1,t,a,False,2738,1,15044,testPhase
16,0,A4,a,a,True,1275,1,15044,testPhase
17,0,T2,t,b,False,2232,1,15044,testPhase
18,0,B4,b,b,True,1025,1,15044,testPhase
19,0,T0,t,a,False,2311,1,15044,testPhase
20,0,B0,b,b,True,1222,1,15044,testPhase
21,0,T4,t,a,False,1360,1,15044,testPhase
22,0,T4,t,a,False,901,1,15044,testPhase
23,0,T0,t,a,False,2844,1,15044,testPhase
24,0,T4,t,a,False,2265,1,15044,testPhase
25,0,A2,a,a,True,1493,1,15044,testPhase
26,0,T4,t,a,False,1441,1,15044,testPhase
27,0,T3,t,b,False,2700,1,15044,testPhase
28,0,T4,t,a,False,1394,1,15044,testPhase
29,0,T3,t,b,False,1856,1,15044,testPhase
30,0,B1,b,a,False,1459,1,15044,testPhase
31,0,T3,t,b,False,3085,1,15044,testPhase
32,0,T2,t,b,False,1216,1,15044,testPhase
33,0,B5,b,b,True,1458,1,15044,testPhase
34,0,A3,a,a,True,1254,1,15044,testPhase
35,0,B3,b,b,True,1087,1,15044,testPhase
36,0,B7,b,b,True,1441,1,15044,testPhase
