trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,B0,b,a,False,1876,1,14347,trainPhase
1,0,B5,b,b,True,1377,1,14347,trainPhase
2,0,B1,b,b,True,1720,1,14347,trainPhase
3,0,A4,a,b,False,2076,1,14347,trainPhase
4,0,B2,b,b,True,2877,1,14347,trainPhase
5,0,A1,a,a,True,1323,1,14347,trainPhase
6,0,B6,b,b,True,1120,1,14347,trainPhase
7,0,B3,b,a,False,977,1,14347,trainPhase
8,0,A3,a,b,False,2130,1,14347,trainPhase
9,0,B4,b,a,False,1936,1,14347,trainPhase
10,0,A7,a,a,True,1668,1,14347,trainPhase
11,0,A6,a,b,False,1736,1,14347,trainPhase
12,0,A5,a,b,False,1131,1,14347,trainPhase
13,0,A0,a,a,True,1839,1,14347,trainPhase
14,0,B7,b,a,False,5485,1,14347,trainPhase
15,0,A2,a,b,False,1132,1,14347,trainPhase
0,1,B4,b,a,False,1876,1,14347,trainPhase
1,1,B5,b,b,True,775,1,14347,trainPhase
2,1,B2,b,b,True,859,1,14347,trainPhase
3,1,A2,a,b,False,1108,1,14347,trainPhase
4,1,A4,a,b,False,1173,1,14347,trainPhase
5,1,B3,b,a,False,1329,1,14347,trainPhase
6,1,A5,a,b,False,1779,1,14347,trainPhase
7,1,B6,b,b,True,1762,1,14347,trainPhase
8,1,B0,b,b,True,1267,1,14347,trainPhase
9,1,B1,b,b,True,1338,1,14347,trainPhase
10,1,A3,a,b,False,1765,1,14347,trainPhase
11,1,A1,a,a,True,1528,1,14347,trainPhase
12,1,B7,b,b,True,990,1,14347,trainPhase
13,1,A7,a,a,True,1090,1,14347,trainPhase
14,1,A0,a,a,True,1307,1,14347,trainPhase
15,1,A6,a,a,True,987,1,14347,trainPhase
0,2,B7,b,b,True,2399,1,14347,trainPhase
1,2,B6,b,b,True,922,1,14347,trainPhase
2,2,A2,a,b,False,1189,1,14347,trainPhase
3,2,A4,a,a,True,1357,1,14347,trainPhase
4,2,B2,b,a,False,1766,1,14347,trainPhase
5,2,A3,a,b,False,1365,1,14347,trainPhase
6,2,B0,b,a,False,2924,1,14347,trainPhase
7,2,B3,b,a,False,1582,1,14347,trainPhase
8,2,B1,b,a,False,2222,1,14347,trainPhase
9,2,A1,a,a,True,974,1,14347,trainPhase
10,2,A6,a,a,True,2785,1,14347,trainPhase
11,2,A0,a,a,True,1935,1,14347,trainPhase
12,2,A5,a,a,True,1243,1,14347,trainPhase
13,2,B5,b,b,True,1462,1,14347,trainPhase
14,2,B4,b,a,False,1373,1,14347,trainPhase
15,2,A7,a,a,True,1028,1,14347,trainPhase
0,3,B2,b,b,True,783,1,14347,trainPhase
1,3,B1,b,b,True,995,1,14347,trainPhase
2,3,B4,b,a,False,1335,1,14347,trainPhase
3,3,A7,a,a,True,1354,1,14347,trainPhase
4,3,A1,a,a,True,2642,1,14347,trainPhase
5,3,A5,a,a,True,1232,1,14347,trainPhase
6,3,A4,a,a,True,1521,1,14347,trainPhase
7,3,B3,b,a,False,1586,1,14347,trainPhase
8,3,B6,b,b,True,1498,1,14347,trainPhase
9,3,A0,a,a,True,3733,1,14347,trainPhase
10,3,A6,a,a,True,1227,1,14347,trainPhase
11,3,B0,b,a,False,4766,1,14347,trainPhase
12,3,B5,b,b,True,1534,1,14347,trainPhase
13,3,A3,a,a,True,774,1,14347,trainPhase
14,3,B7,b,a,False,2078,1,14347,trainPhase
15,3,A2,a,b,False,1851,1,14347,trainPhase
0,4,B7,b,b,True,2132,1,14347,trainPhase
1,4,A0,a,b,False,912,1,14347,trainPhase
2,4,B6,b,b,True,1843,1,14347,trainPhase
3,4,B3,b,b,True,955,1,14347,trainPhase
4,4,B5,b,b,True,1430,1,14347,trainPhase
5,4,B4,b,a,False,1881,1,14347,trainPhase
6,4,B1,b,b,True,2007,1,14347,trainPhase
7,4,A3,a,b,False,773,1,14347,trainPhase
8,4,A1,a,b,False,1533,1,14347,trainPhase
9,4,A6,a,a,True,984,1,14347,trainPhase
10,4,A7,a,a,True,794,1,14347,trainPhase
11,4,A5,a,a,True,1795,1,14347,trainPhase
12,4,A2,a,b,False,1776,1,14347,trainPhase
13,4,B0,b,b,True,2498,1,14347,trainPhase
14,4,A4,a,a,True,1231,1,14347,trainPhase
15,4,B2,b,b,True,1285,1,14347,trainPhase
0,5,B2,b,b,True,6643,1,14347,trainPhase
1,5,A5,a,a,True,1149,1,14347,trainPhase
2,5,A1,a,a,True,5453,1,14347,trainPhase
3,5,A3,a,b,False,2012,1,14347,trainPhase
4,5,B4,b,b,True,2660,1,14347,trainPhase
5,5,B6,b,b,True,1287,1,14347,trainPhase
6,5,B0,b,b,True,847,1,14347,trainPhase
7,5,B1,b,a,False,1786,1,14347,trainPhase
8,5,A2,a,b,False,1063,1,14347,trainPhase
9,5,A4,a,a,True,1225,1,14347,trainPhase
10,5,A7,a,a,True,1182,1,14347,trainPhase
11,5,A6,a,a,True,905,1,14347,trainPhase
12,5,A0,a,a,True,1545,1,14347,trainPhase
13,5,B5,b,b,True,1004,1,14347,trainPhase
14,5,B7,b,b,True,1030,1,14347,trainPhase
15,5,B3,b,b,True,3014,1,14347,trainPhase
0,6,A4,a,a,True,1010,1,14347,trainPhase
1,6,B0,b,b,True,1207,1,14347,trainPhase
2,6,B7,b,b,True,885,1,14347,trainPhase
3,6,A5,a,a,True,927,1,14347,trainPhase
4,6,A3,a,b,False,953,1,14347,trainPhase
5,6,B1,b,b,True,895,1,14347,trainPhase
6,6,B4,b,b,True,827,1,14347,trainPhase
7,6,B6,b,b,True,1469,1,14347,trainPhase
8,6,A2,a,b,False,918,1,14347,trainPhase
9,6,A0,a,b,False,4292,1,14347,trainPhase
10,6,A7,a,a,True,1387,1,14347,trainPhase
11,6,B3,b,a,False,1615,1,14347,trainPhase
12,6,A1,a,b,False,840,1,14347,trainPhase
13,6,B2,b,b,True,3570,1,14347,trainPhase
14,6,A6,a,a,True,941,1,14347,trainPhase
15,6,B5,b,b,True,3713,1,14347,trainPhase
0,7,A7,a,a,True,1046,1,14347,trainPhase
1,7,B3,b,a,False,1144,1,14347,trainPhase
2,7,B0,b,b,True,729,1,14347,trainPhase
3,7,B5,b,b,True,769,1,14347,trainPhase
4,7,A3,a,b,False,1255,1,14347,trainPhase
5,7,A5,a,b,False,2294,1,14347,trainPhase
6,7,A1,a,b,False,1602,1,14347,trainPhase
7,7,A0,a,b,False,1501,1,14347,trainPhase
8,7,B7,b,b,True,1095,1,14347,trainPhase
9,7,B2,b,b,True,709,1,14347,trainPhase
10,7,A2,a,b,False,690,1,14347,trainPhase
11,7,A6,a,a,True,1944,1,14347,trainPhase
12,7,B6,b,b,True,1072,1,14347,trainPhase
13,7,B4,b,b,True,2741,1,14347,trainPhase
14,7,A4,a,a,True,1124,1,14347,trainPhase
15,7,B1,b,b,True,3888,1,14347,trainPhase
0,8,A7,a,a,True,1254,1,14347,trainPhase
1,8,A6,a,a,True,1434,1,14347,trainPhase
2,8,A1,a,b,False,1807,1,14347,trainPhase
3,8,B4,b,a,False,1557,1,14347,trainPhase
4,8,B0,b,b,True,1731,1,14347,trainPhase
5,8,B7,b,b,True,1020,1,14347,trainPhase
6,8,B2,b,b,True,700,1,14347,trainPhase
7,8,A5,a,a,True,990,1,14347,trainPhase
8,8,A4,a,a,True,1200,1,14347,trainPhase
9,8,B1,b,b,True,1748,1,14347,trainPhase
10,8,A0,a,a,True,1000,1,14347,trainPhase
11,8,B5,b,b,True,3463,1,14347,trainPhase
12,8,A2,a,a,True,1103,1,14347,trainPhase
13,8,B6,b,b,True,2221,1,14347,trainPhase
14,8,B3,b,b,True,1219,1,14347,trainPhase
15,8,A3,a,a,True,1169,1,14347,trainPhase
0,9,B1,b,b,True,2160,1,14347,trainPhase
1,9,A1,a,a,True,1146,1,14347,trainPhase
2,9,B3,b,b,True,3038,1,14347,trainPhase
3,9,A0,a,a,True,1302,1,14347,trainPhase
0,0,B7,b,a,False,2083,1,14356,trainPhase
1,0,A7,a,b,False,1708,1,14356,trainPhase
2,0,A5,a,b,False,5723,1,14356,trainPhase
3,0,B6,b,a,False,1261,1,14356,trainPhase
4,0,A6,a,b,False,2203,1,14356,trainPhase
5,0,A3,a,a,True,1299,1,14356,trainPhase
6,0,A0,a,b,False,1685,1,14356,trainPhase
7,0,B5,b,a,False,3462,1,14356,trainPhase
8,0,A2,a,a,True,1321,1,14356,trainPhase
