trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,T2,t,a,False,1940,1,16008,testPhase
1,0,A4,a,b,False,2694,1,16008,testPhase
2,0,B5,b,b,True,1277,1,16008,testPhase
3,0,A3,a,a,True,860,1,16008,testPhase
4,0,A2,a,a,True,1327,1,16008,testPhase
5,0,T2,t,a,False,1360,1,16008,testPhase
6,0,A6,a,a,True,832,1,16008,testPhase
7,0,A1,a,a,True,1340,1,16008,testPhase
8,0,B2,b,b,True,1760,1,16008,testPhase
9,0,T1,t,b,False,4990,1,16008,testPhase
10,0,T1,t,b,False,1201,1,16008,testPhase
11,0,T2,t,a,False,831,1,16008,testPhase
12,0,T1,t,a,False,1700,1,16008,testPhase
13,0,T1,t,a,False,3710,1,16008,testPhase
14,0,T1,t,a,False,2466,1,16008,testPhase
15,0,B1,b,b,True,926,1,16008,testPhase
16,0,B4,b,b,True,1554,1,16008,testPhase
17,0,T2,t,a,False,979,1,16008,testPhase
18,0,B6,b,a,False,867,1,16008,testPhase
19,0,T2,t,a,False,912,1,16008,testPhase
20,0,A5,a,b,False,3152,1,16008,testPhase
21,0,B3,b,b,True,789,1,16008,testPhase
0,0,T1,t,a,False,4903,1,16017,testPhase
1,0,A5,a,a,True,1489,1,16017,testPhase
2,0,T1,t,a,False,3406,1,16017,testPhase
3,0,T1,t,a,False,1530,1,16017,testPhase
4,0,T1,t,a,False,2293,1,16017,testPhase
5,0,T2,t,a,False,2038,1,16017,testPhase
6,0,B3,b,a,False,944,1,16017,testPhase
7,0,B5,b,b,True,1156,1,16017,testPhase
8,0,A2,a,a,True,1516,1,16017,testPhase
9,0,A1,a,a,True,995,1,16017,testPhase
10,0,B6,b,b,True,1493,1,16017,testPhase
11,0,B2,b,b,True,4057,1,16017,testPhase
12,0,T1,t,a,False,1200,1,16017,testPhase
13,0,T2,t,a,False,1965,1,16017,testPhase
14,0,T2,t,a,False,1039,1,16017,testPhase
15,0,A6,a,a,True,989,1,16017,testPhase
