trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,B1,b,b,TRUE,3364,1,16008,trainPhase
1,0,B4,b,b,TRUE,1567,1,16008,trainPhase
2,0,A4,a,b,FALSE,1254,1,16008,trainPhase
3,0,B5,b,a,FALSE,1914,1,16008,trainPhase
4,0,A1,a,a,TRUE,2259,1,16008,trainPhase
5,0,A2,a,a,TRUE,1281,1,16008,trainPhase
6,0,A6,a,b,FALSE,1019,1,16008,trainPhase
7,0,B3,b,a,FALSE,2655,1,16008,trainPhase
8,0,A3,a,a,TRUE,1395,1,16008,trainPhase
9,0,A5,a,b,FALSE,1120,1,16008,trainPhase
10,0,B6,b,a,FALSE,5666,1,16008,trainPhase
11,0,B2,b,b,TRUE,3268,1,16008,trainPhase
0,1,B4,b,b,TRUE,1478,1,16008,trainPhase
1,1,A1,a,a,TRUE,1994,1,16008,trainPhase
2,1,B2,b,a,FALSE,3588,1,16008,trainPhase
3,1,B6,b,a,FALSE,1371,1,16008,trainPhase
4,1,B1,b,b,TRUE,871,1,16008,trainPhase
5,1,A2,a,b,FALSE,1142,1,16008,trainPhase
6,1,A3,a,a,TRUE,1001,1,16008,trainPhase
7,1,A5,a,b,FALSE,1999,1,16008,trainPhase
8,1,A6,a,a,TRUE,2253,1,16008,trainPhase
9,1,B3,b,a,FALSE,1401,1,16008,trainPhase
10,1,B5,b,a,FALSE,5783,1,16008,trainPhase
11,1,A4,a,b,FALSE,1370,1,16008,trainPhase
0,2,B4,b,a,FALSE,5542,1,16008,trainPhase
1,2,B2,b,b,TRUE,1324,1,16008,trainPhase
2,2,A4,a,b,FALSE,1130,1,16008,trainPhase
3,2,A6,a,a,TRUE,992,1,16008,trainPhase
4,2,B5,b,a,FALSE,3555,1,16008,trainPhase
5,2,A2,a,a,TRUE,2709,1,16008,trainPhase
6,2,A1,a,a,TRUE,4946,1,16008,trainPhase
7,2,B3,b,a,FALSE,2484,1,16008,trainPhase
8,2,B1,b,b,TRUE,1302,1,16008,trainPhase
9,2,A5,a,b,FALSE,1448,1,16008,trainPhase
10,2,B6,b,a,FALSE,3536,1,16008,trainPhase
11,2,A3,a,a,TRUE,1660,1,16008,trainPhase
0,3,A3,a,b,FALSE,2455,1,16008,trainPhase
1,3,A6,a,b,FALSE,2443,1,16008,trainPhase
2,3,A5,a,a,TRUE,2194,1,16008,trainPhase
3,3,A1,a,b,FALSE,2197,1,16008,trainPhase
4,3,B3,b,a,FALSE,1055,1,16008,trainPhase
5,3,A2,a,a,TRUE,1148,1,16008,trainPhase
6,3,B4,b,b,TRUE,1041,1,16008,trainPhase
7,3,B1,b,b,TRUE,2748,1,16008,trainPhase
8,3,B2,b,b,TRUE,902,1,16008,trainPhase
9,3,B6,b,a,FALSE,2087,1,16008,trainPhase
10,3,B5,b,b,TRUE,1458,1,16008,trainPhase
11,3,A4,a,b,FALSE,822,1,16008,trainPhase
