trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,A2,a,b,False,2466,5,15038,trainPhase
1,0,B1,b,a,False,2638,5,15038,trainPhase
2,0,A1,a,b,False,1928,5,15038,trainPhase
3,0,B2,b,b,True,1839,5,15038,trainPhase
4,0,A0,a,a,True,1435,5,15038,trainPhase
5,0,B0,b,b,True,2156,5,15038,trainPhase
0,1,B1,b,b,True,1141,5,15038,trainPhase
1,1,A2,a,b,False,1381,5,15038,trainPhase
2,1,A0,a,a,True,867,5,15038,trainPhase
3,1,B0,b,a,False,1365,5,15038,trainPhase
4,1,B2,b,b,True,933,5,15038,trainPhase
5,1,A1,a,a,True,853,5,15038,trainPhase
0,2,A0,a,a,True,876,5,15038,trainPhase
1,2,A2,a,b,False,1898,5,15038,trainPhase
2,2,A1,a,a,True,1126,5,15038,trainPhase
3,2,B2,b,b,True,1230,5,15038,trainPhase
4,2,B0,b,b,True,2719,5,15038,trainPhase
5,2,B1,b,b,True,888,5,15038,trainPhase
0,3,A0,a,a,True,852,5,15038,trainPhase
1,3,A1,a,a,True,863,5,15038,trainPhase
2,3,B0,b,b,True,2216,5,15038,trainPhase
3,3,A2,a,a,True,1796,5,15038,trainPhase
4,3,B2,b,b,True,1038,5,15038,trainPhase
5,3,B1,b,b,True,1075,5,15038,trainPhase
0,4,B1,b,b,True,724,5,15038,trainPhase
1,4,A1,a,a,True,1147,5,15038,trainPhase
2,4,B0,b,b,True,1466,5,15038,trainPhase
3,4,B2,b,b,True,1251,5,15038,trainPhase
4,4,A2,a,a,True,788,5,15038,trainPhase
5,4,A0,a,a,True,854,5,15038,trainPhase
0,0,A2,a,a,True,1970,5,15043,trainPhase
1,0,B2,b,b,True,2064,5,15043,trainPhase
2,0,A0,a,a,True,1303,5,15043,trainPhase
3,0,A1,a,a,True,1222,5,15043,trainPhase
4,0,B0,b,b,True,806,5,15043,trainPhase
5,0,B1,b,b,True,935,5,15043,trainPhase
0,1,A1,a,a,True,1078,5,15043,trainPhase
1,1,B0,b,b,True,853,5,15043,trainPhase
2,1,B2,b,b,True,1393,5,15043,trainPhase
3,1,A2,a,a,True,823,5,15043,trainPhase
4,1,A0,a,a,True,1416,5,15043,trainPhase
5,1,B1,b,b,True,1570,5,15043,trainPhase
0,2,A2,a,b,False,1609,5,15043,trainPhase
1,2,A1,a,a,True,2149,5,15043,trainPhase
2,2,A0,a,a,True,1009,5,15043,trainPhase
3,2,B0,b,b,True,2173,5,15043,trainPhase
4,2,B1,b,b,True,1287,5,15043,trainPhase
5,2,B2,b,b,True,1494,5,15043,trainPhase
0,3,B1,b,b,True,1078,5,15043,trainPhase
1,3,A1,a,a,True,1233,5,15043,trainPhase
2,3,A2,a,a,True,1169,5,15043,trainPhase
